"Eggs","Bird"
19.65,"MeadowPipit"
20.05,"MeadowPipit"
20.65,"MeadowPipit"
20.85,"MeadowPipit"
21.65,"MeadowPipit"
21.65,"MeadowPipit"
21.65,"MeadowPipit"
21.85,"MeadowPipit"
21.85,"MeadowPipit"
21.85,"MeadowPipit"
22.05,"MeadowPipit"
22.05,"MeadowPipit"
22.05,"MeadowPipit"
22.05,"MeadowPipit"
22.05,"MeadowPipit"
22.05,"MeadowPipit"
22.05,"MeadowPipit"
22.05,"MeadowPipit"
22.05,"MeadowPipit"
22.05,"MeadowPipit"
22.25,"MeadowPipit"
22.25,"MeadowPipit"
22.25,"MeadowPipit"
22.25,"MeadowPipit"
22.25,"MeadowPipit"
22.25,"MeadowPipit"
22.25,"MeadowPipit"
22.25,"MeadowPipit"
22.45,"MeadowPipit"
22.45,"MeadowPipit"
22.45,"MeadowPipit"
22.65,"MeadowPipit"
22.65,"MeadowPipit"
22.85,"MeadowPipit"
22.85,"MeadowPipit"
22.85,"MeadowPipit"
22.85,"MeadowPipit"
23.05,"MeadowPipit"
23.25,"MeadowPipit"
23.25,"MeadowPipit"
23.45,"MeadowPipit"
23.65,"MeadowPipit"
23.85,"MeadowPipit"
24.25,"MeadowPipit"
24.45,"TreePipit"
21.05,"TreePipit"
21.85,"TreePipit"
22.05,"TreePipit"
22.45,"TreePipit"
22.65,"TreePipit"
23.25,"TreePipit"
23.25,"TreePipit"
23.25,"TreePipit"
23.45,"TreePipit"
23.45,"TreePipit"
23.65,"TreePipit"
23.85,"TreePipit"
24.05,"TreePipit"
24.05,"TreePipit"
24.05,"TreePipit"
20.85,"HedgeSparrow"
21.65,"HedgeSparrow"
22.05,"HedgeSparrow"
22.85,"HedgeSparrow"
23.05,"HedgeSparrow"
23.05,"HedgeSparrow"
23.05,"HedgeSparrow"
23.05,"HedgeSparrow"
23.45,"HedgeSparrow"
23.85,"HedgeSparrow"
23.85,"HedgeSparrow"
23.85,"HedgeSparrow"
24.05,"HedgeSparrow"
25.05,"HedgeSparrow"
21.05,"Robin"
21.85,"Robin"
22.05,"Robin"
22.05,"Robin"
22.05,"Robin"
22.25,"Robin"
22.45,"Robin"
22.45,"Robin"
22.65,"Robin"
23.05,"Robin"
23.05,"Robin"
23.05,"Robin"
23.05,"Robin"
23.05,"Robin"
23.25,"Robin"
23.85,"Robin"
21.05,"PiedWagtail"
21.85,"PiedWagtail"
21.85,"PiedWagtail"
21.85,"PiedWagtail"
22.05,"PiedWagtail"
22.45,"PiedWagtail"
22.65,"PiedWagtail"
23.05,"PiedWagtail"
23.05,"PiedWagtail"
23.25,"PiedWagtail"
23.45,"PiedWagtail"
24.05,"PiedWagtail"
24.05,"PiedWagtail"
24.05,"PiedWagtail"
24.85,"PiedWagtail"
19.85,"Wren"
20.05,"Wren"
20.25,"Wren"
20.85,"Wren"
20.85,"Wren"
20.85,"Wren"
21.05,"Wren"
21.05,"Wren"
21.05,"Wren"
21.25,"Wren"
21.45,"Wren"
22.05,"Wren"
22.05,"Wren"
22.05,"Wren"
22.25,"Wren"
